feature,units,n_samples_total,n_samples_used,n_samples_dropped,p001,p01,p05,p10,p25,p50,p75,p90,p95,p99,p995,p999
speed_mps,m/s,9676882,9673597,3285,18.58299462730681,28.877142220144545,36.25789989001084,40.33115289030728,47.41164999571444,56.240042984723985,71.0698882619981,85.48060301654748,92.65152220836625,106.52973407790533,113.05621934988939,129.33716216949472
accel_abs_mps2,m/s^2,9521842,9521841,1,6.110596473263287e-14,0.000827794276054627,0.007275428794464205,0.01568857792881168,0.0421961701619755,0.09597386893121354,0.1850754671425626,0.31623343709995233,0.43386982719041334,0.7734109236642183,0.9585107235932825,1.563819294255785
accel_vector_mps2,m/s^2,9521842,9521813,29,7.474917178676973e-14,0.008406778099578033,0.031470153613541094,0.04970129695849922,0.09578964650745858,0.18494815504010204,0.376367953665898,1.092816711576164,2.1109719065150134,3.721271088344747,4.3595294300798155,6.318015595810909
turn_rate_abs_deg_s,deg/s,9521842,9521842,0,1.7053025658242404e-14,0.000437393810862403,0.004419180439540856,0.00980517794168487,0.0296345574721691,0.09607873461025485,0.29602568601715046,1.1879489175371991,2.4845031091189558,4.620110086591796,5.450879726793919,8.5457132969663
vertical_speed_abs_mps,m/s,9676882,9674628,2254,0.0,0.0,0.0,0.0,0.054698629956062915,0.46337090524765756,1.8861656571948515,3.2559944651467467,4.0598375310567745,5.794447809597159,6.732692052527268,10.286999999999988
