,speed_mps,accel_abs_mps2,accel_vector_mps2,turn_rate_abs_deg_s,vertical_speed_abs_mps
speed_mps,1.0,-0.07362202327284616,-0.18002065339567253,-0.260989935355099,-0.1678465654430676
accel_abs_mps2,-0.07362202327284616,1.0,0.44985528848759254,0.3167453271940991,0.1017455277036323
accel_vector_mps2,-0.18002065339567253,0.44985528848759254,1.0,0.9486273961545246,0.12539843798973205
turn_rate_abs_deg_s,-0.260989935355099,0.3167453271940991,0.9486273961545246,1.0,0.1250220129002427
vertical_speed_abs_mps,-0.1678465654430676,0.1017455277036323,0.12539843798973205,0.1250220129002427,1.0
