feature,units,fitted_prior,n_samples_total,n_samples_used,mean,std,median,mad,p05,p50,p95,p99,filter_lo,filter_hi
speed_mps,m/s,True,9676882,9673597,59.95838903363682,17.61622257859715,56.240042984723985,10.840699644142209,36.25789989001084,56.240042984723985,92.65152220836625,106.52973407790533,5.0,160.0
accel_abs_mps2,m/s^2,True,9521842,9521841,0.14351972773091773,0.17811216146303352,0.09597386893121354,0.06361412268720519,0.007275428794464205,0.09597386893121354,0.43386982719041334,0.7734109236642183,0.0,15.0
accel_vector_mps2,m/s^2,True,9521842,9521813,0.43957066007027684,0.7515202829805736,0.18494815504010204,0.110764547984436,0.031470153613541094,0.18494815504010204,2.1109719065150134,3.721271088344747,0.0,15.0
turn_rate_abs_deg_s,deg/s,True,9521842,9521842,0.4290809573999293,0.9548642592279574,0.09607873461025485,0.08115453027091205,0.004419180439540856,0.09607873461025485,2.4845031091189558,4.620110086591796,0.0,30.0
vertical_speed_abs_mps,m/s,True,9676882,9674628,1.1711838135059325,1.4843147802389702,0.46337090524765756,0.46337090524765756,0.0,0.46337090524765756,4.0598375310567745,5.794447809597159,0.0,40.0
vertical_speed_mps,m/s,False,9676882,200000,0.018430945076565237,4.137493464941067,0.0,0.4722266647042602,-3.0734041104690517,0.0,3.415952090069298,5.0721157725440245,,
turn_rate_deg_s,deg/s,False,9521842,200000,-0.030108019837684016,1.0551212939723014,-0.00044632452772355,0.09579761430885016,-1.348770230796754,-0.00044632452772355,1.0540074165481967,3.599541640428499,,
accel_mps2,m/s^2,False,9521842,200000,-0.0004651077143565489,0.22610654674661843,-0.0003264039960022,0.0957822162778107,-0.31630594714817906,-0.0003264039960022,0.31371961850389707,0.6169331764350413,,
