date,threshold_db,stage08_confirmed_tracks,stage08_true_tracks,stage08_false_tracks,stage09_kept_tracks,stage09_kept_true_tracks,stage09_kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_before,precision_after,coverage_proxy_before,coverage_proxy_after,mean_score_true_tracks,mean_score_false_tracks,median_score_true_tracks,median_score_false_tracks
2022-06-06,-5.0,31626,25488,6138,26114,24812,1302,0.9734777150031387,0.21212121212121213,0.7878787878787878,0.8059191804211725,0.9501416864517117,,,0.8785147089963828,0.39554239354612425,0.9542874166816748,0.37977257277004894
2022-06-06,0.0,32158,30554,1604,30691,30108,583,0.9854028932382012,0.3634663341645885,0.6365336658354115,0.9501212761987686,0.981004203186602,,,0.8527523634249143,0.4576586548270772,0.8959309585971964,0.45086694347350303
2022-06-06,3.0,33826,33167,659,32943,32648,295,0.9843519160611451,0.44764795144157815,0.5523520485584219,0.9805179447762077,0.9910451385726862,,,0.8329926541499095,0.4895220744834544,0.835379134880355,0.47955708001729846
2022-06-06,6.0,31927,31653,274,31221,31078,143,0.9818342653145041,0.5218978102189781,0.4781021897810219,0.9914179221348701,0.9954197495275616,,,0.8251472042794358,0.5114292980051316,0.8182817854430005,0.508952019671416
2022-06-06,9.0,27767,27663,104,27069,27009,60,0.9763583125474461,0.5769230769230769,0.42307692307692313,0.9962545467641445,0.9977834423140862,,,0.8218940620756552,0.5266659122632273,0.8181818181818181,0.5347478981696966
2022-06-06,12.0,22890,22841,49,22214,22184,30,0.9712359353793617,0.6122448979591837,0.3877551020408163,0.9978593272171253,0.9986495003151166,,,0.8211548272187678,0.5529766109835664,0.8181818181818181,0.5552178606178366
