model,threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
mlp_dae,-5.0,0.7,19691,19691,0,0.9685686178061977,0.0,1.0,1.0
mlp_dae,-5.0,0.8,19108,19108,0,0.9398917855386129,0.0,1.0,1.0
mlp_dae,-5.0,0.9,16961,16961,0,0.8342843089030989,0.0,1.0,1.0
mlp_dae,0.0,0.1,20806,20804,2,0.9955496004211131,0.125,0.875,0.9999038738825339
mlp_dae,0.0,0.2,20774,20773,1,0.9940661338948175,0.0625,0.9375,0.999951862905555
mlp_dae,0.0,0.3,20712,20711,1,0.9910992008422261,0.0625,0.9375,0.9999517188103515
mlp_dae,0.0,0.4,20626,20625,1,0.9869837775757285,0.0625,0.9375,0.9999515175021817
mlp_dae,0.0,0.5,20507,20506,1,0.9812891802651098,0.0625,0.9375,0.9999512361632613
mlp_dae,0.0,0.6,20273,20272,1,0.9700914006795234,0.0625,0.9375,0.9999506733093276
mlp_dae,0.0,0.7,19827,19826,1,0.9487486242044313,0.0625,0.9375,0.9999495637262319
mlp_dae,0.0,0.8,18821,18820,1,0.9006077427381921,0.0625,0.9375,0.9999468678603687
mlp_dae,0.0,0.9,16188,16187,1,0.7746087955208881,0.0625,0.9375,0.9999382258463059
mlp_dae,3.0,0.1,19116,19115,1,0.9895428896826629,0.16666666666666666,0.8333333333333334,0.9999476878007951
mlp_dae,3.0,0.2,19081,19080,1,0.9877310141326293,0.16666666666666666,0.8333333333333334,0.9999475918452911
mlp_dae,3.0,0.3,19010,19010,0,0.984107263032562,0.0,1.0,1.0
mlp_dae,3.0,0.4,18916,18916,0,0.9792410829839002,0.0,1.0,1.0
mlp_dae,3.0,0.5,18763,18763,0,0.9713205984366102,0.0,1.0,1.0
mlp_dae,3.0,0.6,18486,18486,0,0.9569808976549153,0.0,1.0,1.0
mlp_dae,3.0,0.7,18030,18030,0,0.9333747476316199,0.0,1.0,1.0
mlp_dae,3.0,0.8,17054,17054,0,0.88284930372211,0.0,1.0,1.0
mlp_dae,3.0,0.9,14805,14805,0,0.7664233576642335,0.0,1.0,1.0
mlp_dae,6.0,0.1,16391,16391,0,0.9895556628833615,0.0,1.0,1.0
mlp_dae,6.0,0.2,16356,16356,0,0.9874426467036947,0.0,1.0,1.0
mlp_dae,6.0,0.3,16297,16297,0,0.9838807051436851,0.0,1.0,1.0
mlp_dae,6.0,0.4,16209,16209,0,0.9785679787490944,0.0,1.0,1.0
mlp_dae,6.0,0.5,16086,16086,0,0.971142236174837,0.0,1.0,1.0
mlp_dae,6.0,0.6,15882,15882,0,0.9588263704419222,0.0,1.0,1.0
mlp_dae,6.0,0.7,15483,15483,0,0.9347379859937214,0.0,1.0,1.0
mlp_dae,6.0,0.8,14704,14704,0,0.8877082830234243,0.0,1.0,1.0
mlp_dae,6.0,0.9,12854,12854,0,0.7760202849553248,0.0,1.0,1.0
mlp_dae,9.0,0.1,13618,13618,0,0.9885307781649245,,,1.0
mlp_dae,9.0,0.2,13569,13569,0,0.9849738675958188,,,1.0
mlp_dae,9.0,0.3,13503,13503,0,0.9801829268292683,,,1.0
mlp_dae,9.0,0.4,13423,13423,0,0.9743757259001161,,,1.0
mlp_dae,9.0,0.5,13307,13307,0,0.9659552845528455,,,1.0
mlp_dae,9.0,0.6,13124,13124,0,0.95267131242741,,,1.0
mlp_dae,9.0,0.7,12853,12853,0,0.932999419279907,,,1.0
mlp_dae,9.0,0.8,12298,12298,0,0.8927119628339141,,,1.0
mlp_dae,9.0,0.9,11051,11051,0,0.8021922183507549,,,1.0
mlp_dae,12.0,0.1,11046,11046,0,0.9823906083244397,,,1.0
mlp_dae,12.0,0.2,11005,11005,0,0.9787442191390964,,,1.0
mlp_dae,12.0,0.3,10960,10960,0,0.9747420846673781,,,1.0
mlp_dae,12.0,0.4,10900,10900,0,0.9694059053717539,,,1.0
mlp_dae,12.0,0.5,10804,10804,0,0.9608680184987549,,,1.0
mlp_dae,12.0,0.6,10666,10666,0,0.948594806118819,,,1.0
mlp_dae,12.0,0.7,10456,10456,0,0.9299181785841337,,,1.0
mlp_dae,12.0,0.8,10056,10056,0,0.8943436499466382,,,1.0
mlp_dae,12.0,0.9,9181,9181,0,0.8165243685521166,,,1.0
tcn_ae,-5.0,0.1,19920,19901,19,0.978898180029513,0.11585365853658537,0.8841463414634146,0.9990461847389558
tcn_ae,-5.0,0.2,19799,19787,12,0.973290703393999,0.07317073170731707,0.926829268292683,0.9993939087832718
tcn_ae,-5.0,0.3,19674,19664,10,0.9672405312346286,0.06097560975609756,0.9390243902439024,0.9994917149537461
tcn_ae,-5.0,0.4,19492,19488,4,0.9585833743236596,0.024390243902439025,0.975609756097561,0.9997947876051714
tcn_ae,-5.0,0.5,19216,19214,2,0.9451057550418102,0.012195121951219513,0.9878048780487805,0.9998959200666112
tcn_ae,-5.0,0.6,18794,18792,2,0.9243482538121004,0.012195121951219513,0.9878048780487805,0.9998935830584229
tcn_ae,-5.0,0.7,17972,17971,1,0.8839645843580914,0.006097560975609756,0.9939024390243902,0.9999443578900512
tcn_ae,-5.0,0.8,15982,15982,0,0.7861288735858337,0.0,1.0,1.0
tcn_ae,-5.0,0.9,11631,11631,0,0.5721101819970487,0.0,1.0,1.0
tcn_ae,0.0,0.1,20442,20437,5,0.9779872709001292,0.3125,0.6875,0.9997554055376187
tcn_ae,0.0,0.2,20304,20299,5,0.971383452170168,0.3125,0.6875,0.9997537431048069
tcn_ae,0.0,0.3,20104,20100,4,0.9618605541465282,0.25,0.75,0.9998010346199762
tcn_ae,0.0,0.4,19813,19811,2,0.9480308178207398,0.125,0.875,0.9998990561752384
tcn_ae,0.0,0.5,19368,19366,2,0.9267358951045604,0.125,0.875,0.9998967368855844
tcn_ae,0.0,0.6,18726,18725,1,0.8960616356414797,0.0625,0.9375,0.9999465983125067
tcn_ae,0.0,0.7,17648,17647,1,0.8444752835335215,0.0625,0.9375,0.9999433363553943
tcn_ae,0.0,0.8,15694,15693,1,0.7509690386179835,0.0625,0.9375,0.9999362813814197
