threshold_db,is_target,count,snr_p10_db,snr_p50_db,snr_p90_db,snr_mean_db,sampled_for_quantiles
-5.0,0,1589745,-4.361331800035574,-0.8229815918232632,8.807662500214041,1.013219016904111,True
-5.0,1,7659548,-1.7756013328809228,7.778400249499223,24.418765952994107,9.428849965634772,True
0.0,0,691792,0.6312628383206936,4.134835443665006,13.7543781640818,5.972540934450759,True
0.0,1,6445250,1.3335945501709408,9.90600538333604,25.908525153142314,11.573500113242595,True
3.0,0,418691,3.6345684214488863,7.167722174510657,16.821865434550986,9.009407315304816,True
3.0,1,5526513,3.3374935600765663,11.698838487012038,27.143550404945053,13.189765064513619,True
6.0,0,254808,6.634650822616559,10.151271739217766,19.793940531296094,11.990550515982711,True
6.0,1,4569516,5.584645132514065,13.826150049040887,28.641251565508366,15.079134928653295,True
9.0,0,154280,9.637908374993547,13.160566333761869,22.777881774707218,15.006618195723888,False
9.0,1,3668032,7.9519681340176245,16.160104707578324,30.0,17.073403078409886,True
12.0,0,93980,12.639770198689414,16.14538907415612,25.76480605384003,17.98099780673963,False
12.0,1,2881335,10.397183748839899,18.597527238421854,30.0,19.078351898473958,True
