date,threshold_db,range_bin,bin_lo_m,bin_hi_m,truth_rows_bin,target_detections_bin,missed_targets_bin,empirical_pd_bin
2022-06-20,6.0,50-100 km,50000.0,100000.0,1207222,322883,884339,0.2674595062051553
2022-06-20,6.0,100-200 km,100000.0,200000.0,414836,5943,408893,0.014326143343393534
2022-06-20,6.0,>200 km,200000.0,inf,127619,1288,126331,0.010092541079306372
2022-06-20,9.0,0-50 km,0.0,50000.0,1143498,940491,203007,0.8224684258302157
2022-06-20,9.0,50-100 km,50000.0,100000.0,1207222,156415,1050807,0.12956606158602146
2022-06-20,9.0,100-200 km,100000.0,200000.0,414836,4580,410256,0.011040507574077468
2022-06-20,9.0,>200 km,200000.0,inf,127619,1270,126349,0.009951496250558302
2022-06-20,12.0,0-50 km,0.0,50000.0,1143498,796731,346767,0.6967489230414046
2022-06-20,12.0,50-100 km,50000.0,100000.0,1207222,64253,1142969,0.05322384780926789
2022-06-20,12.0,100-200 km,100000.0,200000.0,414836,4219,410617,0.010170284160487517
2022-06-20,12.0,>200 km,200000.0,inf,127619,1281,126338,0.010037690312571013
2022-06-27,-5.0,0-50 km,0.0,50000.0,884162,865917,18245,0.9793646413213868
2022-06-27,-5.0,50-100 km,50000.0,100000.0,948518,840086,108432,0.8856827176711459
2022-06-27,-5.0,100-200 km,100000.0,200000.0,330942,84667,246275,0.2558363701192354
2022-06-27,-5.0,>200 km,200000.0,inf,101894,1307,100587,0.012827055567550592
2022-06-27,0.0,0-50 km,0.0,50000.0,884162,859940,24222,0.9726045679411691
2022-06-27,0.0,50-100 km,50000.0,100000.0,948518,618721,329797,0.6523028556126504
2022-06-27,0.0,100-200 km,100000.0,200000.0,330942,21726,309216,0.06564896567978679
2022-06-27,0.0,>200 km,200000.0,inf,101894,1037,100857,0.010177243017253224
2022-06-27,3.0,0-50 km,0.0,50000.0,884162,844430,39732,0.9550625337890568
2022-06-27,3.0,50-100 km,50000.0,100000.0,948518,431524,516994,0.4549455044606428
2022-06-27,3.0,100-200 km,100000.0,200000.0,330942,8932,322010,0.026989623559415244
2022-06-27,3.0,>200 km,200000.0,inf,101894,999,100895,0.00980430643610026
2022-06-27,6.0,0-50 km,0.0,50000.0,884162,802768,81394,0.9079422096855554
2022-06-27,6.0,50-100 km,50000.0,100000.0,948518,251880,696638,0.2655511018241088
2022-06-27,6.0,100-200 km,100000.0,200000.0,330942,4757,326185,0.014374119936423905
2022-06-27,6.0,>200 km,200000.0,inf,101894,1002,100892,0.009833748797770232
2022-06-27,9.0,0-50 km,0.0,50000.0,884162,722683,161479,0.8173649172889131
2022-06-27,9.0,50-100 km,50000.0,100000.0,948518,120297,828221,0.12682627003388444
2022-06-27,9.0,100-200 km,100000.0,200000.0,330942,3754,327188,0.011343377389391495
2022-06-27,9.0,>200 km,200000.0,inf,101894,990,100904,0.009715979351090349
2022-06-27,12.0,0-50 km,0.0,50000.0,884162,609401,274761,0.6892413381258186
2022-06-27,12.0,50-100 km,50000.0,100000.0,948518,50066,898452,0.05278339472735362
2022-06-27,12.0,100-200 km,100000.0,200000.0,330942,3413,327529,0.010312985356950764
2022-06-27,12.0,>200 km,200000.0,inf,101894,1029,100865,0.010098730052799968
