threshold_db,stage08_confirmed_tracks,stage08_true_tracks,stage08_false_tracks,stage11_kept_tracks,stage11_kept_true_tracks,stage11_kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_before,precision_after,mean_score_true_tracks,mean_score_false_tracks,median_score_true_tracks,median_score_false_tracks
-5.0,31626,25488,6138,31586,25488,6098,1.0,0.9934832192896709,0.006516780710329129,0.8059191804211725,0.8069397834483631,0.835074576955646,0.6348816412591605,0.8574488787816296,0.6359147611041631
0.0,32158,30554,1604,32156,30553,1603,0.9999672710610722,0.9993765586034913,0.0006234413965087171,0.9501212761987686,0.9501492722975494,0.8271974768195968,0.6630414452411666,0.8401353122219501,0.6636234671957941
3.0,33826,33167,659,33826,33167,659,1.0,1.0,0.0,0.9805179447762077,0.9805179447762077,0.8217552298445148,0.6778978694853318,0.8306812988144869,0.6760007417858183
6.0,31927,31653,274,31927,31653,274,1.0,1.0,0.0,0.9914179221348701,0.9914179221348701,0.8200305952162684,0.6819732910716014,0.8282915286666638,0.6834283964364842
9.0,27767,27663,104,27766,27662,104,0.9999638506308065,1.0,0.0,0.9962545467641445,0.9962544118706331,0.8207586887532702,0.6847055868753404,0.830222222450959,0.6869062514516001
12.0,22890,22841,49,22890,22841,49,1.0,1.0,0.0,0.9978593272171253,0.9978593272171253,0.8227454122205858,0.7034936724825963,0.8330226914315572,0.701440866676078
