model,error_p10,error_p25,error_p50,error_p75,error_p90,error_p95,error_p99,error_mean,error_std,n_calibration_tracks,n_calibration_windows,calibration_dates,calibration_thresholds,min_target_fraction,min_purity
mlp_dae,0.09134641140699387,0.1310500092804432,0.19461127370595932,0.3036685585975647,0.517200767993927,0.7838727474212636,2.147204813957188,0.36266600786139963,3.3481282230219263,20254,652982,2022-06-06,"3,6,9,12",0.95,0.95
gru_ae,0.17406293898820877,0.25943736732006073,0.39256496727466583,0.6025674939155579,0.956729501485825,1.3786416351795185,3.8963302016257764,0.6621609316308747,4.960999360498594,20254,652982,2022-06-06,"3,6,9,12",0.95,0.95
tcn_ae,0.012220682296901942,0.017448977567255497,0.026521705090999603,0.04281722288578749,0.0706187479197979,0.09847113192081448,0.216419088393447,0.039523786877857084,0.10358819310363712,20254,652982,2022-06-06,"3,6,9,12",0.95,0.95
