variant,threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
reconstruction,-5.0,0.9,14814,14814,0,0.7286768322675848,0.0,1.0,1.0
reconstruction,0.0,0.1,20779,20775,4,0.994161841412643,0.25,0.75,0.9998074979546657
reconstruction,0.0,0.2,20738,20736,2,0.9922955448150452,0.125,0.875,0.9999035586845405
reconstruction,0.0,0.3,20680,20678,2,0.989520026798105,0.125,0.875,0.9999032882011606
reconstruction,0.0,0.4,20569,20568,1,0.9842561133177011,0.0625,0.9375,0.9999513831493996
reconstruction,0.0,0.5,20401,20400,1,0.976216681820357,0.0625,0.9375,0.9999509827949611
reconstruction,0.0,0.6,20117,20116,1,0.9626262142891324,0.0625,0.9375,0.9999502907988269
reconstruction,0.0,0.7,19554,19553,1,0.9356845480212471,0.0625,0.9375,0.9999488595683748
reconstruction,0.0,0.8,18237,18236,1,0.8726611475331387,0.0625,0.9375,0.9999451664199156
reconstruction,0.0,0.9,14858,14857,1,0.7109632961669139,0.0625,0.9375,0.9999326961906044
reconstruction,3.0,0.1,19095,19094,1,0.9884557643526427,0.16666666666666666,0.8333333333333334,0.9999476302697041
reconstruction,3.0,0.2,19043,19042,1,0.9857638349640213,0.16666666666666666,0.8333333333333334,0.999947487265662
reconstruction,3.0,0.3,18961,18960,1,0.9815188693896568,0.16666666666666666,0.8333333333333334,0.9999472601656031
reconstruction,3.0,0.4,18865,18865,0,0.9766009214681369,0.0,1.0,1.0
reconstruction,3.0,0.5,18673,18673,0,0.9666614898793808,0.0,1.0,1.0
reconstruction,3.0,0.6,18380,18380,0,0.9514935031319564,0.0,1.0,1.0
reconstruction,3.0,0.7,17867,17867,0,0.9249365843557488,0.0,1.0,1.0
reconstruction,3.0,0.8,16735,16735,0,0.8663353522803748,0.0,1.0,1.0
reconstruction,3.0,0.9,14045,14045,0,0.7270797742920744,0.0,1.0,1.0
reconstruction,6.0,0.1,16381,16381,0,0.9889519439748853,0.0,1.0,1.0
reconstruction,6.0,0.2,16325,16325,0,0.9855711180874185,0.0,1.0,1.0
reconstruction,6.0,0.3,16254,16254,0,0.9812847138372374,0.0,1.0,1.0
reconstruction,6.0,0.4,16170,16170,0,0.9762134750060372,0.0,1.0,1.0
reconstruction,6.0,0.5,16041,16041,0,0.968425501086694,0.0,1.0,1.0
reconstruction,6.0,0.6,15828,15828,0,0.9555662883361506,0.0,1.0,1.0
reconstruction,6.0,0.7,15430,15430,0,0.9315382757787974,0.0,1.0,1.0
reconstruction,6.0,0.8,14592,14592,0,0.8809466312484907,0.0,1.0,1.0
reconstruction,6.0,0.9,12552,12552,0,0.7577879739193432,0.0,1.0,1.0
reconstruction,9.0,0.1,13605,13605,0,0.9875871080139372,,,1.0
reconstruction,9.0,0.2,13554,13554,0,0.9838850174216028,,,1.0
reconstruction,9.0,0.3,13493,13493,0,0.9794570267131243,,,1.0
reconstruction,9.0,0.4,13403,13403,0,0.9729239256678281,,,1.0
reconstruction,9.0,0.5,13303,13303,0,0.965664924506388,,,1.0
reconstruction,9.0,0.6,13132,13132,0,0.9532520325203252,,,1.0
reconstruction,9.0,0.7,12856,12856,0,0.9332171893147503,,,1.0
reconstruction,9.0,0.8,12324,12324,0,0.8945993031358885,,,1.0
reconstruction,9.0,0.9,10993,10993,0,0.7979819976771196,,,1.0
reconstruction,12.0,0.1,11036,11036,0,0.9815012451085023,,,1.0
reconstruction,12.0,0.2,11006,11006,0,0.9788331554606902,,,1.0
reconstruction,12.0,0.3,10959,10959,0,0.9746531483457844,,,1.0
reconstruction,12.0,0.4,10905,10905,0,0.9698505869797225,,,1.0
reconstruction,12.0,0.5,10821,10821,0,0.9623799359658485,,,1.0
reconstruction,12.0,0.6,10697,10697,0,0.9513518320882248,,,1.0
reconstruction,12.0,0.7,10494,10494,0,0.9332977588046958,,,1.0
reconstruction,12.0,0.8,10138,10138,0,0.9016364283173248,,,1.0
reconstruction,12.0,0.9,9281,9281,0,0.8254180007114905,,,1.0
